"country","forecast_year","forecast_quarter","target_year","target_quarter","horizon","target","tau","lower_bound","upper_bound","truth_value","prediction","covered","IS"
"Canada",2000,NA,2000,4,0.5,"cpi",0.1,1.70010733557129,1.80633762845578,2.54467897330315,NA,FALSE,1.74698883698976
"Canada",2001,NA,2001,4,0.5,"cpi",0.1,1.70010733557129,1.80633762845578,2.27695832736599,NA,FALSE,1.15205406824051
"Canada",2002,NA,2002,4,0.5,"cpi",0.1,1.70010733557129,1.80633762845578,2.73694526109434,NA,FALSE,2.17424725430351
"Canada",2003,NA,2003,4,0.5,"cpi",0.1,1.80633762845578,1.89390984728987,1.84630058591067,NA,TRUE,0.0875722188340851
"Canada",2004,NA,2004,4,0.5,"cpi",0.1,1.79542204210987,1.88299426094396,2.23456211948951,NA,FALSE,0.868834126713084
"Canada",2005,NA,2005,4,0.5,"cpi",0.1,1.88299426094396,2.07712502773338,2.00218136491059,NA,TRUE,0.19413076678942
"Canada",2006,NA,2006,4,0.5,"cpi",0.1,1.92424097541063,2.11837174220005,2.14602107835604,NA,FALSE,0.255573736024954
"Canada",2007,NA,2007,4,0.5,"cpi",0.1,2.07410122163332,2.19029159892277,2.38540342481082,NA,FALSE,0.549772212596227
"Canada",2008,NA,2008,4,0.5,"cpi",0.1,2.19029159892277,2.25576022342775,0.292141396435586,NA,FALSE,4.28358018558762
"Canada",2009,NA,2009,4,0.5,"cpi",0.1,2.19029159892277,2.25576022342775,1.77674215393546,NA,FALSE,0.984467391143452
"Canada",2010,NA,2010,4,0.5,"cpi",0.1,2.19029159892277,2.25576022342775,2.8902561167552,NA,FALSE,1.47545949856598
"Canada",2011,NA,2011,4,0.5,"cpi",0.1,2.19029159892277,2.25576022342775,1.5156782312455,NA,FALSE,1.56460944156559
"Canada",2012,NA,2012,4,0.5,"cpi",0.1,2.07410122163332,2.19029159892277,0.958904109588499,NA,FALSE,2.5944061818335
"Canada",2013,NA,2013,4,0.5,"cpi",0.1,1.92424097541063,2.07410122163332,1.89959294436879,NA,FALSE,0.204633648537885
"Canada",2014,NA,2014,4,0.5,"cpi",0.1,1.87294676513973,1.95088715463969,1.10526666222837,NA,FALSE,1.78389617374743
"Canada",2015,NA,2015,4,0.5,"cpi",0.1,1.83816754915212,1.95088715463969,1.40891434590795,NA,FALSE,1.06661561269684
"Canada",2016,NA,2016,4,0.5,"cpi",0.1,1.64621019259048,1.83816754915212,1.6100759592282,NA,FALSE,0.272255652922267
"Canada",2017,NA,2017,4,0.5,"cpi",0.1,1.56287709523685,1.69340905658183,2.24252491694275,NA,FALSE,1.35078942881369
"Canada",2018,NA,2018,4,0.5,"cpi",0.1,1.56287709523685,1.69340905658183,1.94926902411596,NA,FALSE,0.699109666976381
"Canada",2019,NA,2019,4,0.5,"cpi",0.1,1.56287709523685,1.69340905658183,0.716999632307869,NA,FALSE,2.01025965674271
"Canada",2020,NA,2020,4,0.5,"cpi",0.1,1.56287709523685,1.69340905658183,3.39519318527535,NA,FALSE,3.9122744695528
"Canada",2021,NA,2021,4,0.5,"cpi",0.1,1.56287709523685,1.75483445179849,6.79651641755912,NA,FALSE,11.3956950582519
"Canada",2022,NA,2022,4,0.5,"cpi",0.1,1.56287709523685,1.75483445179849,3.87900159788375,NA,FALSE,4.91232879230666
"Canada",2023,NA,2023,4,0.5,"cpi",0.1,1.75483445179849,1.92443098424238,NA,NA,NA,NA
"Canada",2024,NA,2024,4,0.5,"cpi",0.1,1.91201196430558,1.93685000417917,NA,NA,NA,NA
"Canada",2000,NA,2001,4,1,"cpi",0.1,1.70010733557129,1.80633762845578,2.27695832736599,NA,FALSE,1.15205406824051
"Canada",2001,NA,2002,4,1,"cpi",0.1,1.70010733557129,1.80633762845578,2.73694526109434,NA,FALSE,2.17424725430351
"Canada",2002,NA,2003,4,1,"cpi",0.1,1.80633762845578,1.89390984728987,1.84630058591067,NA,TRUE,0.0875722188340851
