"country","forecast_year","target_year","target_quarter","horizon","target","tau","lower_bound","upper_bound","truth_value","covered"
"Canada",2000,2000,4,0.5,"tv_cpi",0.1,1.70010733557129,1.80633762845578,2.54467897330315,FALSE
"Canada",2001,2001,4,0.5,"tv_cpi",0.1,1.70010733557129,1.80633762845578,2.27695832736599,FALSE
"Canada",2002,2002,4,0.5,"tv_cpi",0.1,1.70010733557129,1.80633762845578,2.73694526109434,FALSE
"Canada",2003,2003,4,0.5,"tv_cpi",0.1,1.80633762845578,1.89390984728987,1.84630058591067,TRUE
"Canada",2004,2004,4,0.5,"tv_cpi",0.1,1.79542204210987,1.88299426094396,2.23456211948951,FALSE
"Canada",2005,2005,4,0.5,"tv_cpi",0.1,1.88299426094396,2.07712502773338,2.00218136491059,TRUE
"Canada",2006,2006,4,0.5,"tv_cpi",0.1,1.92424097541063,2.11837174220005,2.14602107835604,FALSE
"Canada",2007,2007,4,0.5,"tv_cpi",0.1,2.07410122163332,2.19029159892277,2.38540342481082,FALSE
"Canada",2008,2008,4,0.5,"tv_cpi",0.1,2.19029159892277,2.25576022342775,0.292141396435586,FALSE
"Canada",2009,2009,4,0.5,"tv_cpi",0.1,2.19029159892277,2.25576022342775,1.77674215393546,FALSE
"Canada",2010,2010,4,0.5,"tv_cpi",0.1,2.19029159892277,2.25576022342775,2.8902561167552,FALSE
"Canada",2011,2011,4,0.5,"tv_cpi",0.1,2.19029159892277,2.25576022342775,1.5156782312455,FALSE
"Canada",2012,2012,4,0.5,"tv_cpi",0.1,2.07410122163332,2.19029159892277,0.958904109588499,FALSE
"Canada",2013,2013,4,0.5,"tv_cpi",0.1,1.92424097541063,2.07410122163332,1.89959294436879,FALSE
"Canada",2014,2014,4,0.5,"tv_cpi",0.1,1.87294676513973,1.95088715463969,1.10526666222837,FALSE
"Canada",2015,2015,4,0.5,"tv_cpi",0.1,1.83816754915212,1.95088715463969,1.40891434590795,FALSE
"Canada",2016,2016,4,0.5,"tv_cpi",0.1,1.64621019259048,1.83816754915212,1.6100759592282,FALSE
"Canada",2017,2017,4,0.5,"tv_cpi",0.1,1.56287709523685,1.69340905658183,2.24252491694275,FALSE
"Canada",2018,2018,4,0.5,"tv_cpi",0.1,1.56287709523685,1.69340905658183,1.94926902411596,FALSE
"Canada",2019,2019,4,0.5,"tv_cpi",0.1,1.56287709523685,1.69340905658183,0.716999632307869,FALSE
"Canada",2020,2020,4,0.5,"tv_cpi",0.1,1.56287709523685,1.69340905658183,3.39519318527535,FALSE
"Canada",2021,2021,4,0.5,"tv_cpi",0.1,1.56287709523685,1.75483445179849,6.79651641755912,FALSE
"Canada",2022,2022,4,0.5,"tv_cpi",0.1,1.56287709523685,1.75483445179849,3.87900159788375,FALSE
"Canada",2023,2023,4,0.5,"tv_cpi",0.1,1.75483445179849,1.92443098424238,NA,NA
"Canada",2024,2024,4,0.5,"tv_cpi",0.1,1.91201196430558,1.93685000417917,NA,NA
"Canada",2000,2001,4,1,"tv_cpi",0.1,1.70010733557129,1.80633762845578,2.27695832736599,FALSE
"Canada",2001,2002,4,1,"tv_cpi",0.1,1.70010733557129,1.80633762845578,2.73694526109434,FALSE
"Canada",2002,2003,4,1,"tv_cpi",0.1,1.80633762845578,1.89390984728987,1.84630058591067,TRUE
"Canada",2003,2004,4,1,"tv_cpi",0.1,1.79542204210987,1.88299426094396,2.23456211948951,FALSE
"Canada",2004,2005,4,1,"tv_cpi",0.1,1.88299426094396,2.07712502773338,2.00218136491059,TRUE
"Canada",2005,2006,4,1,"tv_cpi",0.1,1.92424097541063,2.11837174220005,2.14602107835604,FALSE
"Canada",2006,2007,4,1,"tv_cpi",0.1,2.07410122163332,2.19029159892277,2.38540342481082,FALSE
"Canada",2007,2008,4,1,"tv_cpi",0.1,2.19029159892277,2.25576022342775,0.292141396435586,FALSE
"Canada",2008,2009,4,1,"tv_cpi",0.1,2.19029159892277,2.25576022342775,1.77674215393546,FALSE
"Canada",2009,2010,4,1,"tv_cpi",0.1,2.19029159892277,2.25576022342775,2.8902561167552,FALSE
"Canada",2010,2011,4,1,"tv_cpi",0.1,2.19029159892277,2.25576022342775,1.5156782312455,FALSE
"Canada",2011,2012,4,1,"tv_cpi",0.1,2.07410122163332,2.19029159892277,0.958904109588499,FALSE
"Canada",2012,2013,4,1,"tv_cpi",0.1,1.92424097541063,2.07410122163332,1.89959294436879,FALSE
"Canada",2013,2014,4,1,"tv_cpi",0.1,1.87294676513973,1.95088715463969,1.10526666222837,FALSE
